pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
4,0,ble,29,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,6,7.500,true,NA,NA,NA,64,[]
13,0,ble,10,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,32,40.000,3,3.750,true,NA,NA,NA,64,[]
14,0,ble,7,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,64,80.000,6,7.500,true,NA,NA,NA,64,[]
15,0,ble,9,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,64,80.000,5,6.250,true,NA,NA,NA,64,[]
17,0,ble,3,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,[]
21,0,ble,17,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,5,6.250,true,NA,NA,NA,64,[]
22,0,ble,1,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,5,6.250,true,NA,NA,NA,64,[]
30,0,ble,29,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,32,40.000,3,3.750,true,NA,NA,NA,64,[]
31,0,ble,8,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,32,40.000,6,7.500,true,NA,NA,NA,64,[]
32,0,ble,16,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,2,2.500,true,NA,NA,NA,64,[]
34,0,ble,32,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,6,7.500,true,NA,NA,NA,64,[]
35,0,ble,2,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,64,80.000,5,6.250,true,NA,NA,NA,64,[]
39,0,ble,26,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,6,7.500,true,NA,NA,NA,64,[]
42,0,ble,2,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,5,6.250,true,NA,NA,NA,64,[]
44,0,ble,35,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,5,6.250,true,NA,NA,NA,64,[]
